State,District,Latitude,Longitude,Material Involved,Movement Type
Arunachal Pradesh,Anjaw,27.98333,96.40433,Debris,Slide
Arunachal Pradesh,Anjaw,27.98728,96.41208,Debris,Slide
Arunachal Pradesh,Anjaw,28.00611,96.42872,Debris,Slide
Arunachal Pradesh,Anjaw,28.01661,96.44172,Rock cum Debris,Complex
Arunachal Pradesh,Anjaw,28.01781,96.44275,Debris,Slide
Arunachal Pradesh,Anjaw,28.01992,96.443,Rock,Slide
Arunachal Pradesh,Anjaw,28.022471,96.440489,Debris,Slide
Arunachal Pradesh,Anjaw,28.023491,96.440972,Debris,Slide
Arunachal Pradesh,Anjaw,28.05997,96.48664,Debris,Slide
Arunachal Pradesh,Anjaw,28.06131,96.49256,Debris,Slide
Arunachal Pradesh,Anjaw,28.06244,96.49775,Debris,Slide
Arunachal Pradesh,Anjaw,28.063,96.49914,Debris,Slide
Arunachal Pradesh,Anjaw,28.06356,96.50075,Debris,Slide
Arunachal Pradesh,Anjaw,28.06964,96.50025,Rock,Slide
Arunachal Pradesh,Anjaw,28.079818,96.46838,Debris,Slide
Arunachal Pradesh,Anjaw,28.08014,96.52356,Debris,Topple
Arunachal Pradesh,Anjaw,28.080151,96.472541,Debris,Slide
Arunachal Pradesh,Anjaw,28.08019,96.54483,Debris,Flow
Arunachal Pradesh,Anjaw,28.080301,96.472247,Debris,Slide
Arunachal Pradesh,Anjaw,28.08061,96.51294,Rock,Fall
Arunachal Pradesh,Anjaw,28.082576,96.464869,Debris,Slide
Arunachal Pradesh,Anjaw,28.082618,96.465189,Rock,Slide
Arunachal Pradesh,Anjaw,28.083417,96.461433,Rock,Slide
Arunachal Pradesh,Anjaw,28.084252,96.459672,Debris,Slide
Arunachal Pradesh,Anjaw,28.088159,96.458999,Rock,Slide
Arunachal Pradesh,Anjaw,28.089549,96.457818,Debris,Slide
Arunachal Pradesh,Anjaw,28.090087,96.454067,Debris,Slide
Arunachal Pradesh,Anjaw,28.0907,96.45238,Debris,Slide
Arunachal Pradesh,Anjaw,28.09311,96.53622,Rock,Slide
Arunachal Pradesh,Anjaw,28.094359,96.453058,Rock,Slide
Arunachal Pradesh,Anjaw,28.095602,96.453246,Rock,Slide
Arunachal Pradesh,Anjaw,28.100244,96.448173,Rock,Slide
Arunachal Pradesh,Anjaw,28.100284,96.449538,Rock,Slide
Arunachal Pradesh,Anjaw,28.100914,96.449162,Debris,Slide
Arunachal Pradesh,Anjaw,28.102005,96.448473,Debris,Slide
Arunachal Pradesh,Anjaw,28.105572,96.447685,Rock,Slide
Arunachal Pradesh,Anjaw,28.105952,96.447724,Rock,Slide
Arunachal Pradesh,Anjaw,28.106321,96.447245,Debris,Slide
Arunachal Pradesh,Anjaw,28.10714,96.54489,Rock,Fall
Arunachal Pradesh,Anjaw,28.11142,96.54528,Rock,Slide
Arunachal Pradesh,Anjaw,28.11594,96.54689,Rock,Slide
Arunachal Pradesh,Anjaw,28.11781,96.54906,Debris,Flow
Arunachal Pradesh,Anjaw,28.14531,96.54897,Rock,Slide
Arunachal Pradesh,Anjaw,28.15292,96.53858,Rock,Slide
Arunachal Pradesh,Anjaw,28.16206,96.53061,Debris,Topple
Arunachal Pradesh,Anjaw,28.16939,96.52578,Rock,Slide
Arunachal Pradesh,Anjaw,28.18439,96.53453,Debris,Slide
Arunachal Pradesh,Anjaw,28.18525,96.53256,Debris,Slide
Arunachal Pradesh,Anjaw,28.19597,96.53733,Debris,Slide
Arunachal Pradesh,Anjaw,28.20867,96.53222,Debris,Slide
Arunachal Pradesh,Anjaw,28.21483,96.53911,Debris,Slide
Arunachal Pradesh,Anjaw,28.22328,96.55303,Rock,Slide
Arunachal Pradesh,Anjaw,28.22381,96.53644,Rock,Slide
Arunachal Pradesh,Anjaw,28.22408,96.55872,Rock,Slide
Arunachal Pradesh,Anjaw,28.22797,96.54606,Debris,Slide
Arunachal Pradesh,Anjaw,28.23153,96.54272,Debris,Slide
Arunachal Pradesh,Anjaw,28.23969,96.52778,Rock,Topple
Arunachal Pradesh,Anjaw,28.25203,96.54264,Debris,Slide
Arunachal Pradesh,Anjaw,28.25897,96.54433,Rock,Topple
Arunachal Pradesh,Anjaw,28.2625,96.5465,Rock,Slide
Arunachal Pradesh,Anjaw,28.26522,96.57889,Debris,Flow
Arunachal Pradesh,Anjaw,28.26786,96.55781,Rock,Flow
Arunachal Pradesh,Anjaw,28.26814,96.55728,Rock,Slide
Arunachal Pradesh,Anjaw,28.27378,96.57031,Debris,Slide
Arunachal Pradesh,Anjaw,28.28331,96.58094,Rock,"Slide and
topple"
Arunachal Pradesh,Anjaw,28.28386,96.58275,Debris,Slide
Arunachal Pradesh,Anjaw,28.28778,96.57928,Rock,Slide
Arunachal Pradesh,Anjaw,28.31211,96.61719,Debris,Topple
Arunachal Pradesh,Anjaw,28.31658,96.61508,Debris,Slide
Arunachal Pradesh,Changlang,27.039914,95.73282,Debris,Slide
Arunachal Pradesh,Changlang,27.043883,95.72822,Debris,Slide
Arunachal Pradesh,Changlang,27.047848,95.729657,Debris,Slide
Arunachal Pradesh,Changlang,27.057191,95.716883,Debris,Slide
Arunachal Pradesh,Changlang,27.0611,95.721024,Debris,Slide
Arunachal Pradesh,Changlang,27.068358,95.725306,Debris,Slide
Arunachal Pradesh,Changlang,27.089394,95.729849,Debris,Slide
Arunachal Pradesh,Changlang,27.093755,95.731806,Rock,slide
Arunachal Pradesh,Changlang,27.112268,95.736125,Rock,Slide
Arunachal Pradesh,Changlang,27.115246,95.670965,Debris,Slide
Arunachal Pradesh,Changlang,27.115545,95.733337,Rock,Slide
Arunachal Pradesh,Changlang,27.11587,95.733019,Rock,Fall
Arunachal Pradesh,Changlang,27.116625,95.669825,Debris,Slide
Arunachal Pradesh,Changlang,27.122408,95.678718,Debris,Slide
Arunachal Pradesh,Changlang,27.122872,95.672546,Debris,Slide
Arunachal Pradesh,Changlang,27.125767,95.745585,Debris,Slide
Arunachal Pradesh,Changlang,27.12922,95.684101,Debris,Slide
Arunachal Pradesh,Changlang,27.131129,95.689613,Debris,Slide
Arunachal Pradesh,Changlang,27.132794,95.687302,Debris,Slide
Arunachal Pradesh,Changlang,27.132933,95.709803,Debris,Slide
Arunachal Pradesh,Changlang,27.143343,95.743034,Debris,Slide
Arunachal Pradesh,Changlang,27.1448,95.742566,Debris,Slide
Arunachal Pradesh,Changlang,27.150127,95.780208,Debris,Slide
Arunachal Pradesh,Changlang,27.153826,95.77545,Debris,Slide
Arunachal Pradesh,Changlang,27.15844,95.755292,Debris,Slide
Arunachal Pradesh,Changlang,27.158837,95.750303,Debris,Slide
Arunachal Pradesh,Changlang,27.160065,95.754919,Rock,Fall
Arunachal Pradesh,Changlang,27.161858,95.757717,Debris,Slide
Arunachal Pradesh,Changlang,27.163084,95.754775,Debris,Slide
Arunachal Pradesh,Changlang,27.163388,95.746685,Debris,Slide
Arunachal Pradesh,Changlang,27.172066,95.754546,Debris,Slide
Arunachal Pradesh,Changlang,27.175606,95.749935,Debris,Slide
Arunachal Pradesh,Changlang,27.178695,95.735218,Rock,Fall
Arunachal Pradesh,Changlang,27.187767,95.732008,Debris,Slide
Arunachal Pradesh,Changlang,27.188551,95.703582,Debris,Slide
Arunachal Pradesh,Changlang,27.190295,95.716317,Rock,Rock fall
Arunachal Pradesh,Changlang,27.226901,95.905393,Debris,Slide
Arunachal Pradesh,Changlang,27.257581,95.936353,Debris,Slide
Arunachal Pradesh,Changlang,27.268684,96.040751,Debris,Slide
Arunachal Pradesh,Changlang,27.268973,96.037707,Debris,Slide
Arunachal Pradesh,Changlang,27.273999,95.975506,Debris,Slide
Arunachal Pradesh,Changlang,27.275542,95.965859,Debris,Slide
Arunachal Pradesh,Changlang,27.282921,96.122193,Debris,Slide
Arunachal Pradesh,Changlang,27.287781,95.978389,Rock,Slide
Arunachal Pradesh,Changlang,27.287855,95.977914,Debris,Slide
Arunachal Pradesh,Changlang,27.288125,96.075898,Debris,Slide
Arunachal Pradesh,Changlang,27.29268,96.024049,Debris,Slide
Arunachal Pradesh,Changlang,27.296223,96.013675,Debris,Slide
Arunachal Pradesh,Changlang,27.297775,96.002314,Debris,Slide
Arunachal Pradesh,Changlang,27.298972,96.046398,Rock,Slide
Arunachal Pradesh,Changlang,27.299135,96.010349,Debris,Slide
Arunachal Pradesh,Changlang,27.299744,95.987092,Debris,Slide
Arunachal Pradesh,Changlang,27.29976,96.012691,Debris,Slide
Arunachal Pradesh,Changlang,27.300188,96.010838,Debris,Slide
Arunachal Pradesh,Changlang,27.300945,95.992838,Debris,Slide
Arunachal Pradesh,Changlang,27.302949,96.154621,Debris,Slide
Arunachal Pradesh,Changlang,27.305527,96.224831,Debris,Slide
Arunachal Pradesh,Changlang,27.309012,96.158495,Debris,Slide
Arunachal Pradesh,Changlang,27.313343,96.171327,Debris,Slide
Arunachal Pradesh,Changlang,27.315904,96.18349,Debris,Slide
Arunachal Pradesh,Changlang,27.447181,96.439865,Debris,Slide
Arunachal Pradesh,Changlang,27.449807,96.444466,Debris,Slide
Arunachal Pradesh,Changlang,27.453197,96.444944,Debris,Slide
Arunachal Pradesh,Changlang,27.455222,96.440908,Debris,Slide
Arunachal Pradesh,Changlang,27.458768,96.440093,Debris,Slide
Arunachal Pradesh,Changlang,27.460656,96.412177,Debris,Slide
Arunachal Pradesh,Changlang,27.460731,96.41975,Soil,Slide
Arunachal Pradesh,Changlang,27.466137,96.407194,Debris,Slide
Arunachal Pradesh,Changlang,27.467849,96.409616,Debris,Slide
